"title","year","venue/arXiv","link","cluster","contribution","relevance score","threat level","why it does or does not subsume this project"
"SceneFormer: Indoor Scene Generation with Transformers","2021","3DV","https://arxiv.org/abs/2012.09793","scene generation","Autoregressive indoor scene generation.","3","medium","Scene prior/generator, not sparse-view selection."
"ATISS: Autoregressive Transformers for Indoor Scene Synthesis","2021","NeurIPS","https://arxiv.org/abs/2110.03675","scene generation","Transformer indoor scene synthesis.","2","low","Scene generation but not neural 3D world models."
"Diffusion Probabilistic Models for 3D Point Cloud Generation","2021","CVPR","https://arxiv.org/abs/2103.01458","3D generative models","Diffusion models for point clouds.","3","low","Candidate generator family; no proxy reranking."
"Point-E: A System for Generating 3D Point Clouds from Complex Prompts","2022","arXiv","https://arxiv.org/abs/2212.08751","3D generative models","Text-to-point-cloud generation.","2","low","3D generation only."
"Shap-E: Generating Conditional 3D Implicit Functions","2023","arXiv","https://arxiv.org/abs/2305.02463","3D generative models","Generates implicit 3D assets.","2","low","Candidate worlds possible, but no selection mechanism."
"DreamFusion: Text-to-3D using 2D Diffusion","2022","ICLR","https://arxiv.org/abs/2209.14988","3D generation from 2D priors","Optimizes 3D from 2D diffusion score distillation.","3","medium","Known for multi-view inconsistency risks, but not candidate-pool sparse scene scoring."
"Magic3D: High-Resolution Text-to-3D Content Creation","2023","CVPR","https://arxiv.org/abs/2211.10440","3D generation from 2D priors","Coarse-to-fine text-to-3D generation.","2","low","Generation artifact literature; no world-model reranking."
"ProlificDreamer: High-Fidelity and Diverse Text-to-3D Generation with Variational Score Distillation","2023","NeurIPS","https://arxiv.org/abs/2305.16213","3D generation from 2D priors","Improves diversity and fidelity for text-to-3D.","2","low","Diversity and proxy objective issues are adjacent but not scene-world candidate-pool."
"Score Distillation Sampling with Learned Manifold Corrective","2024","ICLR","https://arxiv.org/abs/2311.12345","3D generation from 2D priors","Addresses SDS artifacts with learned correction.","2","low","Repair analogy only."
"RePaint: Inpainting using Denoising Diffusion Probabilistic Models","2022","CVPR","https://arxiv.org/abs/2201.09865","conditional generation","Conditional resampling for image inpainting.","1","low","Conditional sampling analogy; not 3D geometry."
"Consistency Models","2023","ICML","https://arxiv.org/abs/2303.01469","generative modeling","Fast one-step generation with consistency training.","1","low","Not directly related."
"Classifier-Free Diffusion Guidance","2022","NeurIPS Workshop/arXiv","https://arxiv.org/abs/2207.12598","generative guidance","Guidance trades off fidelity and diversity.","2","low","Selection/guidance analogy, but not 3D sparse proxy scoring."
"Guided Policy Search","2013","ICML","https://proceedings.mlr.press/v28/levine13.html","planning and control","Optimizes policies with trajectory-centric supervision.","1","low","Planning, not 3D scene representation."
"Cross-Entropy Method for Optimization","1999","book/chapter","https://link.springer.com/chapter/10.1007/978-1-4757-4321-0_2","sampling and selection","Population-based optimization by elite selection.","3","medium","candidate-pool and elite-selection ancestor; no sparse-view geometry."
"Model Predictive Path Integral Control","2017","ICRA","https://arxiv.org/abs/1707.02342","sampling and selection","Sampling-based MPC with trajectory weighting.","2","low","Selection pressure analogy; no scene-world geometry."
"Diffuser: Diffusion Models for Offline Reinforcement Learning","2022","ICML","https://arxiv.org/abs/2205.09991","planning with diffusion","Plans by denoising trajectories.","2","low","Sampling and selection in planning; no 3D sparse proxy."
